"Jahr","Monat","Gemeinde","Betriebe","Zimmer","Betten","Ankünfte","Logiernächte","Zimmernächte","Zimmerauslastung in %","Bettenauslastung in %"
"2024","Januar","Neuchâtel",15,565,1004,4036,7335,5863,35,25
"2024","Januar","Laténa",...,...,...,...,...,...,...,...
"2024","Januar","Genève",87,6907,12152,73224,151687,106190,50,40
"2024","Januar","Lancy",3,334,699,2950,6356,4847,47,29
"2024","Januar","Meyrin",12,1970,3147,32566,49667,35299,58,51
"2024","Januar","Vernier",6,998,1670,8209,15856,10177,33,31
"2024","Januar","Delémont",9,222,439,1202,1980,1841,28,15
"2024","Januar","Saignelégier",5,80,175,408,648,439,22,15
"2024","Januar","Porrentruy",10,87,169,462,837,543,22,17
"2024","Januar","Clos du Doubs",6,54,123,72,100,59,5,4
"2024","Januar","Moutier (JU)",...,...,...,...,...,...,...,...
"2024","Februar","Kloten",7,1387,2599,18747,29199,22309,56,39
"2024","Februar","Opfikon",10,2285,4524,25463,41682,30422,46,32
"2024","Februar","Dübendorf",5,172,273,1356,2770,2005,41,36
"2024","Februar","Uster",5,170,310,919,2927,2328,47,33
"2024","Februar","Winterthur",19,811,1517,7170,13517,10621,45,31
"2024","Februar","Zürich",126,9329,18279,127508,228531,154381,57,43
"2024","Februar","Wädenswil",4,69,122,389,739,529,27,21
"2024","Februar","Horgen",4,88,132,464,964,789,31,25
"2024","Februar","Langenthal",4,147,286,1359,2303,1937,46,28
"2024","Februar","Bern",40,2856,5509,34613,59396,41456,50,37
"2024","Februar","Köniz",5,65,146,462,729,571,30,17
"2024","Februar","Biel/Bienne",8,443,844,3976,6596,5185,40,27
"2024","Februar","Burgdorf",3,69,127,605,904,746,37,25
"2024","Februar","Adelboden",18,693,1453,9225,28400,14215,71,67
"2024","Februar","Aeschi bei Spiez",4,76,148,922,1202,674,31,28
"2024","Februar","Kandersteg",12,322,649,4106,10317,4718,51,55
"2024","Februar","Reichenbach im Kandertal",9,152,404,999,2219,1329,30,19
"2024","Februar","Beatenberg",11,325,765,3841,8906,4128,44,40
"2024","Februar","Brienz (BE)",12,288,613,2563,4646,2455,30,27
"2024","Februar","Grindelwald",47,1646,3617,28062,77789,36169,76,74
"2024","Februar","Interlaken",25,1552,3369,24204,47494,24557,55,49
"2024","Februar","Lauterbrunnen",41,1273,2762,14890,55083,26550,72,69
"2024","Februar","Matten bei Interlaken",5,180,358,831,3233,1709,33,31
"2024","Februar","Unterseen",12,349,801,5680,10553,5535,57,47
"2024","Februar","Wilderswil",8,294,607,3986,8749,4822,57,50
"2024","Februar","Moutier (BE)",3,34,66,128,280,253,26,15
"2024","Februar","Diemtigen",5,72,191,382,1227,657,32,22
"2024","Februar","Spiez",11,346,639,3323,5327,3167,32,29
"2024","Februar","Hasliberg",12,317,717,3556,11702,5360,58,56
"2024","Februar","Innertkirchen",7,127,302,281,456,240,8,6
"2024","Februar","Meiringen",11,296,700,2832,6925,3854,46,35
"2024","Februar","Lenk",15,431,826,7596,17848,9361,75,75
"2024","Februar","Saanen",29,1139,2324,13844,48043,25079,76,71
"2024","Februar","Langnau im Emmental",4,47,92,454,801,632,48,31
"2024","Februar","Schangnau",4,58,116,899,1123,636,38,33
"2024","Februar","Sigriswil",8,262,488,3733,7328,4027,58,56
"2024","Februar","Thun",16,477,808,3961,7777,5588,43,35
"2024","Februar","Herzogenbuchsee",3,41,75,162,241,142,13,12
"2024","Februar","Emmen",3,250,342,764,1907,1762,24,19
"2024","Februar","Kriens",4,258,551,4584,7808,4330,58,49
"2024","Februar","Luzern",53,3177,6300,36495,65517,41610,45,36
"2024","Februar","Meggen",3,34,68,105,179,148,33,20
"2024","Februar","Vitznau",5,226,527,935,2376,1606,25,16
"2024","Februar","Weggis",19,712,1316,4643,9759,6316,32,26
"2024","Februar","Sursee",5,139,240,1900,2957,2192,55,43
"2024","Februar","Andermatt",13,487,1101,5319,17007,8161,58,53
"2024","Februar","Gurtnellen",4,35,113,210,226,137,13,7
